Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
1259.59  -9999.    268.95    59.05     -6.72     -1.18       5403.0    537.27    262.14     3.07       9.92      6.83 1  -9999.  -9999.   -76.8514    38.9943  -9999.  -9999.  -9999.
1260.59  -9999.    268.91    59.13     -6.81     -1.15       5406.6    536.89    262.12     3.07       9.62      6.90 1  -9999.  -9999.   -76.8514    38.9942  -9999.  -9999.  -9999.
1261.59  -9999.    268.86    59.26     -6.90     -1.13       5411.6    536.50    262.10     3.07       9.31      6.99 1  -9999.  -9999.   -76.8514    38.9941  -9999.  -9999.  -9999.
1262.59  -9999.    268.81    59.53     -7.00     -1.11       5418.4    536.10    262.11     3.07       9.01      7.09 1  -9999.  -9999.   -76.8513    38.9941  -9999.  -9999.  -9999.
1263.59  -9999.    268.75    59.89     -7.11     -1.09       5425.4    535.69    262.13     3.08       8.72      7.19 1  -9999.  -9999.   -76.8513    38.9940  -9999.  -9999.  -9999.
1264.59  -9999.    268.66    60.31     -7.22     -1.08       5432.7    535.27    262.13     3.08       8.47      7.30 1  -9999.  -9999.   -76.8513    38.9939  -9999.  -9999.  -9999.
1265.59  -9999.    268.57    60.68     -7.33     -1.07       5440.3    534.86    262.12     3.08       8.27      7.41 1  -9999.  -9999.   -76.8514    38.9939  -9999.  -9999.  -9999.
1266.59  -9999.    268.51    60.77     -7.44     -1.06       5445.5    534.46    262.08     3.07       8.13      7.52 1  -9999.  -9999.   -76.8514    38.9938  -9999.  -9999.  -9999.
1267.59  -9999.    268.46    60.72     -7.55     -1.07       5449.9    534.07    262.03     3.06       8.05      7.62 1  -9999.  -9999.   -76.8514    38.9938  -9999.  -9999.  -9999.
1268.59  -9999.    268.43    60.74     -7.65     -1.08       5455.5    533.69    262.00     3.06       8.05      7.73 1  -9999.  -9999.   -76.8514    38.9938  -9999.  -9999.  -9999.
1269.59  -9999.    268.38    61.01     -7.74     -1.11       5460.8    533.32    262.01     3.06       8.13      7.82 1  -9999.  -9999.   -76.8514    38.9937  -9999.  -9999.  -9999.
1270.59  -9999.    268.32    61.45     -7.83     -1.14       5466.1    532.95    262.05     3.07       8.29      7.91 1  -9999.  -9999.   -76.8513    38.9936  -9999.  -9999.  -9999.
1271.59  -9999.    268.27    61.69     -7.90     -1.18       5470.9    532.59    262.05     3.08       8.53      7.99 1  -9999.  -9999.   -76.8513    38.9936  -9999.  -9999.  -9999.
1272.59  -9999.    268.22    61.74     -7.96     -1.24       5477.5    532.23    262.01     3.07       8.85      8.05 1  -9999.  -9999.   -76.8513    38.9935  -9999.  -9999.  -9999.
1273.59  -9999.    268.16    61.88     -8.00     -1.30       5482.4    531.88    261.98     3.06       9.26      8.11 1  -9999.  -9999.   -76.8513    38.9934  -9999.  -9999.  -9999.
1274.59  -9999.    268.11    61.97     -8.03     -1.38       5487.3    531.53    261.95     3.06       9.75      8.15 1  -9999.  -9999.   -76.8514    38.9933  -9999.  -9999.  -9999.
1275.59  -9999.    268.06    62.11     -8.04     -1.47       5493.0    531.19    261.93     3.06      10.33      8.18 1  -9999.  -9999.   -76.8514    38.9932  -9999.  -9999.  -9999.
1276.59  -9999.    268.00    62.55     -8.04     -1.56       5498.2    530.85    261.96     3.07      11.00      8.19 1  -9999.  -9999.   -76.8514    38.9931  -9999.  -9999.  -9999.
1277.59  -9999.    267.95    62.86     -8.02     -1.67       5502.3    530.52    261.98     3.07      11.75      8.19 1  -9999.  -9999.   -76.8515    38.9930  -9999.  -9999.  -9999.
1278.59  -9999.    267.91    62.83     -7.99     -1.79       5506.7    530.20    261.94     3.06      12.60      8.18 1  -9999.  -9999.   -76.8515    38.9929  -9999.  -9999.  -9999.
1279.59  -9999.    267.87    62.79     -7.93     -1.91       5511.9    529.88    261.89     3.05      13.54      8.16 1  -9999.  -9999.   -76.8515    38.9928  -9999.  -9999.  -9999.
1280.59  -9999.    267.83    62.88     -7.86     -2.04       5516.8    529.56    261.87     3.05      14.55      8.12 1  -9999.  -9999.   -76.8516    38.9927  -9999.  -9999.  -9999.
1281.59  -9999.    267.79    63.16     -7.78     -2.18       5521.1    529.24    261.89     3.06      15.65      8.08 1  -9999.  -9999.   -76.8516    38.9926  -9999.  -9999.  -9999.
1282.59  -9999.    267.74    63.57     -7.68     -2.32       5526.0    528.92    261.92     3.07      16.82      8.03 1  -9999.  -9999.   -76.8516    38.9925  -9999.  -9999.  -9999.
1283.59  -9999.    267.69    63.87     -7.58     -2.47       5529.5    528.59    261.93     3.07      18.06      7.97 1  -9999.  -9999.   -76.8516    38.9925  -9999.  -9999.  -9999.
1284.59  -9999.    267.65    64.08     -7.47     -2.62       5534.2    528.25    261.94     3.07      19.35      7.91 1  -9999.  -9999.   -76.8516    38.9924  -9999.  -9999.  -9999.
1285.59  -9999.    267.61    64.47     -7.35     -2.77       5540.0    527.90    261.97     3.08      20.69      7.85 1  -9999.  -9999.   -76.8516    38.9923  -9999.  -9999.  -9999.
1286.59  -9999.    267.54    64.96     -7.22     -2.93       5546.7    527.55    262.00     3.09      22.07      7.79 1  -9999.  -9999.   -76.8516    38.9922  -9999.  -9999.  -9999.
1287.59  -9999.    267.47    65.27     -7.10     -3.08       5552.7    527.20    262.00     3.10      23.47      7.74 1  -9999.  -9999.   -76.8517    38.9922  -9999.  -9999.  -9999.
1288.59  -9999.    267.41    65.36     -6.97     -3.23       5557.0    526.85    261.95     3.09      24.89      7.68 1  -9999.  -9999.   -76.8517    38.9921  -9999.  -9999.  -9999.
1289.59  -9999.    267.36    65.33     -6.84     -3.38       5563.2    526.52    261.90     3.08      26.31      7.63 1  -9999.  -9999.   -76.8518    38.9921  -9999.  -9999.  -9999.
1290.59  -9999.    267.32    65.22     -6.72     -3.53       5567.7    526.19    261.84     3.06      27.71      7.59 1  -9999.  -9999.   -76.8518    38.9920  -9999.  -9999.  -9999.
1291.59  -9999.    267.28    65.07     -6.60     -3.67       5572.1    525.87    261.77     3.05      29.08      7.55 1  -9999.  -9999.   -76.8519    38.9920  -9999.  -9999.  -9999.
1292.59  -9999.    267.24    65.16     -6.49     -3.80       5575.1    525.55    261.75     3.04      30.38      7.52 1  -9999.  -9999.   -76.8519    38.9920  -9999.  -9999.  -9999.
1293.59  -9999.    267.20    65.27     -6.39     -3.93       5578.7    525.23    261.74     3.04      31.61      7.50 1  -9999.  -9999.   -76.8520    38.9920  -9999.  -9999.  -9999.
1294.59  -9999.    267.16    65.32     -6.29     -4.04       5584.2    524.90    261.70     3.04      32.73      7.48 1  -9999.  -9999.   -76.8520    38.9919  -9999.  -9999.  -9999.
1295.59  -9999.    267.10    65.68     -6.21     -4.15       5590.3    524.56    261.72     3.04      33.73      7.47 1  -9999.  -9999.   -76.8521    38.9919  -9999.  -9999.  -9999.
1296.59  -9999.    267.05    66.19     -6.14     -4.24       5595.2    524.21    261.76     3.06      34.61      7.46 1  -9999.  -9999.   -76.8521    38.9918  -9999.  -9999.  -9999.
1297.59  -9999.    266.99    66.51     -6.09     -4.32       5601.8    523.85    261.77     3.06      35.36      7.46 1  -9999.  -9999.   -76.8521    38.9918  -9999.  -9999.  -9999.
1298.59  -9999.    266.94    66.64     -6.04     -4.39       5607.8    523.49    261.74     3.05      35.97      7.47 1  -9999.  -9999.   -76.8522    38.9917  -9999.  -9999.  -9999.
1299.59  -9999.    266.88    66.74     -6.01     -4.44       5613.4    523.14    261.71     3.05      36.44      7.47 1  -9999.  -9999.   -76.8523    38.9917  -9999.  -9999.  -9999.
1300.59  -9999.    266.84    66.82     -5.99     -4.48       5617.9    522.80    261.69     3.04      36.77      7.48 1  -9999.  -9999.   -76.8523    38.9916  -9999.  -9999.  -9999.
1301.59  -9999.    266.80    66.88     -5.99     -4.51       5622.5    522.46    261.66     3.04      36.97      7.50 1  -9999.  -9999.   -76.8524    38.9916  -9999.  -9999.  -9999.
1302.59  -9999.    266.75    67.00     -5.99     -4.52       5626.2    522.12    261.63     3.04      37.03      7.51 1  -9999.  -9999.   -76.8525    38.9915  -9999.  -9999.  -9999.
1303.59  -9999.    266.71    67.30     -6.01     -4.52       5631.9    521.79    261.65     3.04      36.96      7.52 1  -9999.  -9999.   -76.8526    38.9914  -9999.  -9999.  -9999.
1304.59  -9999.    266.65    67.76     -6.04     -4.51       5637.0    521.46    261.68     3.05      36.75      7.53 1  -9999.  -9999.   -76.8526    38.9914  -9999.  -9999.  -9999.
1305.59  -9999.    266.59    68.34     -6.07     -4.48       5642.7    521.12    261.73     3.06      36.42      7.54 1  -9999.  -9999.   -76.8527    38.9913  -9999.  -9999.  -9999.
1306.59  -9999.    266.54    68.87     -6.11     -4.44       5647.4    520.79    261.77     3.08      35.98      7.55 1  -9999.  -9999.   -76.8528    38.9913  -9999.  -9999.  -9999.
1307.59  -9999.    266.49    69.19     -6.16     -4.39       5652.8    520.46    261.78     3.08      35.45      7.57 1  -9999.  -9999.   -76.8528    38.9912  -9999.  -9999.  -9999.
1308.59  -9999.    266.45    69.27     -6.22     -4.33       5657.7    520.13    261.76     3.08      34.83      7.58 1  -9999.  -9999.   -76.8529    38.9912  -9999.  -9999.  -9999.
1309.59  -9999.    266.41    69.10     -6.28     -4.26       5661.3    519.80    261.69     3.06      34.15      7.59 1  -9999.  -9999.   -76.8529    38.9911  -9999.  -9999.  -9999.
1310.59  -9999.    266.37    68.96     -6.34     -4.19       5667.6    519.48    261.63     3.05      33.43      7.60 1  -9999.  -9999.   -76.8530    38.9911  -9999.  -9999.  -9999.
1311.59  -9999.    266.33    69.00     -6.41     -4.11       5671.8    519.14    261.59     3.04      32.66      7.61 1  -9999.  -9999.   -76.8531    38.9910  -9999.  -9999.  -9999.
1312.59  -9999.    266.28    69.15     -6.47     -4.03       5674.7    518.80    261.57     3.04      31.88      7.63 1  -9999.  -9999.   -76.8531    38.9910  -9999.  -9999.  -9999.
1313.59  -9999.    266.22    69.53     -6.54     -3.95       5681.1    518.46    261.58     3.05      31.10      7.64 1  -9999.  -9999.   -76.8532    38.9909  -9999.  -9999.  -9999.
1314.59  -9999.    266.15    70.12     -6.61     -3.86       5688.0    518.10    261.63     3.06      30.31      7.66 1  -9999.  -9999.   -76.8532    38.9908  -9999.  -9999.  -9999.
1315.59  -9999.    266.08    70.57     -6.67     -3.78       5693.7    517.75    261.64     3.06      29.54      7.67 1  -9999.  -9999.   -76.8533    38.9907  -9999.  -9999.  -9999.
1316.59  -9999.    266.03    70.66     -6.73     -3.70       5699.1    517.39    261.61     3.06      28.80      7.69 1  -9999.  -9999.   -76.8533    38.9907  -9999.  -9999.  -9999.
1317.59  -9999.    265.98    70.49     -6.79     -3.63       5703.9    517.04    261.53     3.04      28.11      7.70 1  -9999.  -9999.   -76.8533    38.9906  -9999.  -9999.  -9999.
1318.59  -9999.    265.93    70.40     -6.84     -3.56       5709.4    516.68    261.47     3.03      27.46      7.71 1  -9999.  -9999.   -76.8533    38.9905  -9999.  -9999.  -9999.
1319.59  -9999.    265.89    70.62     -6.89     -3.49       5714.2    516.33    261.47     3.03      26.87      7.72 1  -9999.  -9999.   -76.8533    38.9905  -9999.  -9999.  -9999.
1320.59  -9999.    265.85    71.01     -6.93     -3.43       5719.1    515.98    261.49     3.04      26.35      7.73 1  -9999.  -9999.   -76.8533    38.9905  -9999.  -9999.  -9999.
1321.59  -9999.    265.80    71.51     -6.97     -3.38       5723.9    515.62    261.53     3.05      25.89      7.74 1  -9999.  -9999.   -76.8534    38.9905  -9999.  -9999.  -9999.
1322.59  -9999.    265.75    71.79     -7.00     -3.34       5730.8    515.25    261.53     3.05      25.49      7.75 1  -9999.  -9999.   -76.8534    38.9904  -9999.  -9999.  -9999.
1323.59  -9999.    265.68    71.84     -7.02     -3.30       5735.5    514.87    261.48     3.04      25.14      7.76 1  -9999.  -9999.   -76.8534    38.9904  -9999.  -9999.  -9999.
1324.59  -9999.    265.63    71.99     -7.04     -3.26       5741.0    514.48    261.45     3.04      24.86      7.76 1  -9999.  -9999.   -76.8535    38.9903  -9999.  -9999.  -9999.
1325.59  -9999.    265.58    72.36     -7.05     -3.23       5747.2    514.07    261.46     3.04      24.63      7.76 1  -9999.  -9999.   -76.8535    38.9902  -9999.  -9999.  -9999.
1326.59  -9999.    265.52    72.84     -7.06     -3.21       5753.3    513.66    261.49     3.05      24.45      7.76 1  -9999.  -9999.   -76.8535    38.9901  -9999.  -9999.  -9999.
1327.59  -9999.    265.45    73.24     -7.06     -3.19       5762.4    513.24    261.49     3.05      24.30      7.75 1  -9999.  -9999.   -76.8535    38.9900  -9999.  -9999.  -9999.
1328.59  -9999.    265.37    73.67     -7.06     -3.17       5769.5    512.84    261.49     3.06      24.19      7.74 1  -9999.  -9999.   -76.8535    38.9899  -9999.  -9999.  -9999.
1329.59  -9999.    265.30    73.89     -7.05     -3.15       5775.8    512.44    261.46     3.05      24.09      7.73 1  -9999.  -9999.   -76.8536    38.9898  -9999.  -9999.  -9999.
1330.59  -9999.    265.24    73.77     -7.05     -3.14       5780.0    512.07    261.38     3.03      23.99      7.71 1  -9999.  -9999.   -76.8536    38.9897  -9999.  -9999.  -9999.
1331.59  -9999.    265.20    73.69     -7.04     -3.12       5784.3    511.71    261.33     3.02      23.89      7.70 1  -9999.  -9999.   -76.8537    38.9897  -9999.  -9999.  -9999.
1332.59  -9999.    265.16    73.89     -7.02     -3.09       5790.3    511.37    261.32     3.02      23.78      7.68 1  -9999.  -9999.   -76.8538    38.9896  -9999.  -9999.  -9999.
1333.59  -9999.    265.10    74.24     -7.01     -3.07       5794.5    511.04    261.32     3.03      23.64      7.66 1  -9999.  -9999.   -76.8538    38.9895  -9999.  -9999.  -9999.
1334.59  -9999.    265.05    74.54     -7.00     -3.04       5799.6    510.72    261.33     3.03      23.48      7.63 1  -9999.  -9999.   -76.8539    38.9895  -9999.  -9999.  -9999.
1335.59  -9999.    265.00    74.80     -6.99     -3.01       5805.1    510.41    261.32     3.03      23.30      7.61 1  -9999.  -9999.   -76.8540    38.9894  -9999.  -9999.  -9999.
1336.59  -9999.    264.95    75.05     -6.99     -2.98       5810.8    510.10    261.32     3.03      23.08      7.59 1  -9999.  -9999.   -76.8540    38.9894  -9999.  -9999.  -9999.
1337.59  -9999.    264.91    75.28     -6.98     -2.94       5813.5    509.81    261.31     3.03      22.83      7.58 1  -9999.  -9999.   -76.8541    38.9894  -9999.  -9999.  -9999.
1338.59  -9999.    264.87    75.70     -6.98     -2.90       5817.3    509.52    261.35     3.04      22.53      7.56 1  -9999.  -9999.   -76.8541    38.9893  -9999.  -9999.  -9999.
1339.59  -9999.    264.82    76.40     -6.98     -2.85       5821.6    509.22    261.41     3.06      22.19      7.54 1  -9999.  -9999.   -76.8541    38.9893  -9999.  -9999.  -9999.
1340.59  -9999.    264.77    76.96     -6.99     -2.80       5826.6    508.93    261.45     3.07      21.80      7.53 1  -9999.  -9999.   -76.8542    38.9893  -9999.  -9999.  -9999.
1341.59  -9999.    264.73    77.17     -7.00     -2.74       5830.1    508.63    261.44     3.07      21.37      7.52 1  -9999.  -9999.   -76.8542    38.9892  -9999.  -9999.  -9999.
1342.59  -9999.    264.68    77.37     -7.02     -2.68       5835.5    508.32    261.43     3.07      20.90      7.52 1  -9999.  -9999.   -76.8542    38.9891  -9999.  -9999.  -9999.
1343.59  -9999.    264.63    77.66     -7.04     -2.62       5841.1    508.01    261.43     3.07      20.40      7.52 1  -9999.  -9999.   -76.8542    38.9890  -9999.  -9999.  -9999.
1344.59  -9999.    264.58    77.68     -7.07     -2.56       5845.6    507.70    261.39     3.06      19.88      7.52 1  -9999.  -9999.   -76.8543    38.9889  -9999.  -9999.  -9999.
1345.59  -9999.    264.53    77.50     -7.10     -2.50       5850.8    507.39    261.31     3.04      19.36      7.53 1  -9999.  -9999.   -76.8543    38.9889  -9999.  -9999.  -9999.
1346.59  -9999.    264.48    77.52     -7.13     -2.43       5856.0    507.08    261.26     3.03      18.85      7.54 1  -9999.  -9999.   -76.8543    38.9888  -9999.  -9999.  -9999.
1347.59  -9999.    264.43    77.68     -7.17     -2.38       5860.1    506.78    261.24     3.03      18.35      7.55 1  -9999.  -9999.   -76.8543    38.9887  -9999.  -9999.  -9999.
1348.59  -9999.    264.40    77.84     -7.20     -2.32       5863.6    506.49    261.23     3.03      17.87      7.57 1  -9999.  -9999.   -76.8543    38.9887  -9999.  -9999.  -9999.
1349.59  -9999.    264.36    77.99     -7.24     -2.27       5868.5    506.19    261.22     3.03      17.43      7.59 1  -9999.  -9999.   -76.8543    38.9887  -9999.  -9999.  -9999.
1350.59  -9999.    264.32    78.27     -7.27     -2.23       5872.8    505.89    261.22     3.03      17.04      7.61 1  -9999.  -9999.   -76.8543    38.9886  -9999.  -9999.  -9999.
1351.59  -9999.    264.27    78.55     -7.30     -2.19       5877.0    505.57    261.22     3.03      16.69      7.63 1  -9999.  -9999.   -76.8544    38.9886  -9999.  -9999.  -9999.
1352.59  -9999.    264.23    78.76     -7.33     -2.16       5880.7    505.25    261.21     3.03      16.40      7.64 1  -9999.  -9999.   -76.8544    38.9885  -9999.  -9999.  -9999.
1353.59  -9999.    264.18    79.09     -7.35     -2.13       5886.8    504.92    261.22     3.04      16.17      7.66 1  -9999.  -9999.   -76.8544    38.9885  -9999.  -9999.  -9999.
1354.59  -9999.    264.13    79.56     -7.37     -2.11       5894.8    504.59    261.24     3.04      16.00      7.66 1  -9999.  -9999.   -76.8545    38.9884  -9999.  -9999.  -9999.
1355.59  -9999.    264.07    79.77     -7.37     -2.10       5899.4    504.26    261.22     3.04      15.92      7.67 1  -9999.  -9999.   -76.8545    38.9883  -9999.  -9999.  -9999.
1356.59  -9999.    264.02    79.57     -7.37     -2.10       5904.4    503.94    261.14     3.02      15.91      7.66 1  -9999.  -9999.   -76.8545    38.9882  -9999.  -9999.  -9999.
1357.59  -9999.    263.98    79.37     -7.35     -2.11       5908.1    503.63    261.07     3.01      15.99      7.65 1  -9999.  -9999.   -76.8545    38.9881  -9999.  -9999.  -9999.
